Subject,Stimuli,FixStart,FixEnd,FixDur,XPos,YPos,ROI,Block,Trial,ImageType,Species,SubjectName,roi_type,roi_index,saliency,area
Cheyenne_20240702_1420,FStil09.png,232.713,392.695,163.256,1527,561,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,52.848876953125,1563409
Cheyenne_20240702_1420,FStil09.png,409.259,645.983,239.965,1093,378,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,3,171.1674041748047,96632
Cheyenne_20240702_1420,FStil09.png,655.942,869.192,216.689,1193,525,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,148.38401794433594,1563409
Cheyenne_20240702_1420,FStil09.png,899.287,1055.843,159.995,1664,123,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,36.48859786987305,1563409
Cheyenne_20240702_1420,FStil04.png,83.609,213.495,133.334,929,579,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,40.13865280151367,1639293
Cheyenne_20240702_1420,FStil04.png,230.256,416.88,189.862,629,635,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,207.0527801513672,184974
Cheyenne_20240702_1420,FStil04.png,430.216,590.202,163.223,758,838,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,213.45819091796875,184974
Cheyenne_20240702_1420,FStil04.png,613.425,813.398,203.405,780,91,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,38.353736877441406,1639293
Cheyenne_20240702_1420,FStil04.png,843.485,1010.145,169.886,707,855,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,206.62060546875,184974
Cheyenne_20240702_1420,FStil04.png,1036.814,1210.126,176.542,800,113,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,52.06879425048828,1639293
Cheyenne_20240702_1420,FStil04.png,1243.445,1413.313,173.327,1596,790,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,116.74723052978516,1639293
Cheyenne_20240702_1420,FStil04.png,1443.445,1586.634,146.643,621,713,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,210.2315673828125,184974
Cheyenne_20240702_1420,FStil04.png,1826.569,1926.582,103.448,1750,136,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,1.9759070873260498,1639293
Cheyenne_20240702_1420,FStil04.png,1970.04,2206.567,239.969,783,139,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,44.66348648071289,1639293
Cheyenne_20240702_1420,FStil04.png,2473.178,2666.587,196.769,1509,925,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,7,74.15705108642578,105022
Cheyenne_20240702_1420,FStil04.png,2693.169,2876.594,186.636,874,923,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,142.64036560058594,184974
Cheyenne_20240702_1420,FStil04.png,2903.237,2993.115,93.092,832,28,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,18.928956985473633,1639293
Cheyenne_20240702_1420,SStil01.png,265.442,468.888,206.666,1299,519,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,2,109.95272064208984,83428
Cheyenne_20240702_1420,SStil01.png,488.878,628.856,143.175,1663,522,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,2,66.7055892944336,83428
Cheyenne_20240702_1420,SStil01.png,652.039,798.719,150.106,1457,676,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,2,6,234.30435180664062,204523
Cheyenne_20240702_1420,SStil01.png,828.816,1165.299,339.96,601,709,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,101.65326690673828,1694055
Cheyenne_20240702_1420,SStil01.png,1185.304,1528.719,346.652,711,449,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,127.61101531982422,1694055
Cheyenne_20240702_1420,SStil01.png,1555.412,1765.262,213.28,649,1074,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,17.483348846435547,1694055
Cheyenne_20240702_1420,SStil01.png,2065.221,2268.623,206.651,902,696,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,105.94499206542969,1694055
Cheyenne_20240702_1420,SStil01.png,2285.193,2455.272,173.309,1231,574,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,248.2329864501953,1694055
Cheyenne_20240702_1420,SStil01.png,2491.835,2628.596,139.955,955,770,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,2,6,95.2459945678711,204523
Cheyenne_20240702_1420,SStil01.png,2645.201,2828.592,186.565,1256,592,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,2,6,204.6892547607422,204523
Cheyenne_20240702_1420,FStil12.png,257.177,450.489,196.739,1011,115,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,60.383426666259766,1209661
Cheyenne_20240702_1420,FStil12.png,467.248,680.549,216.56,826,85,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,92.54377746582031,1209661
Cheyenne_20240702_1420,FStil12.png,703.79,873.879,173.336,764,9,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,35.398353576660156,1209661
Cheyenne_20240702_1420,FStil12.png,890.431,953.841,66.642,477,563,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,151.3784942626953,447557
Cheyenne_20240702_1420,FStil12.png,1137.042,1313.807,179.991,1142,139,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,76.85450744628906,1209661
Cheyenne_20240702_1420,FStil12.png,1340.471,1520.446,183.197,1623,71,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,6,54.98615646362305,348109
Cheyenne_20240702_1420,FStil12.png,2107.03,2376.864,273.294,1368,817,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,182.9440155029297,447557
Cheyenne_20240702_1420,FStil12.png,2390.262,2690.227,303.353,1228,908,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,1,1,154.70187377929688,447557
Cheyenne_20240702_1420,FStil12.png,2720.282,2880.274,163.181,1572,105,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,2,6,72.71939086914062,348109
Cheyenne_20240702_1420,FStil12.png,2913.594,2990.191,79.881,696,97,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,F,Baboon,Cheyenne,0,0,61.193626403808594,1209661
Cheyenne_20240702_1420,SStil21.png,266.393,453.034,189.915,787,641,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,187.04638671875,1657483
Cheyenne_20240702_1420,SStil21.png,469.587,706.326,239.978,904,904,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,118.56819152832031,1657483
Cheyenne_20240702_1420,SStil21.png,722.954,882.837,163.356,490,996,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,36.833370208740234,1657483
Cheyenne_20240702_1420,SStil21.png,899.642,992.953,96.554,875,933,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,87.42862701416016,1657483
Cheyenne_20240702_1420,SStil21.png,1012.953,1239.578,229.881,271,524,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,128.38412475585938,1657483
Cheyenne_20240702_1420,SStil21.png,1256.147,1446.226,193.31,388,333,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,1,70.44625854492188,185855
